domain,fb,name,sources,tw,usnpl_tag,website,wp_tags,yt
abqjournal.com,https://www.facebook.com/TheAlbuquerqueJournal,Rio Rancho News,usnpl.com;AWIS,abqjournal,Newspapers,https://www.abqjournal.com/category/rio-rancho-news,,http://www.youtube.com/user/albuquerquejournal
abqjournal.com,https://www.facebook.com/TheAlbuquerqueJournal,Journal North,usnpl.com;AWIS,abqjournal,Newspapers,https://www.abqjournal.com/north,,
abqthemag.com,https://www.facebook.com/pages/Albuquerque-The-Magazine/36176037343,Albuquerque the Magazine,usnpl.com,abqthemag,Magazines,http://www.abqthemag.com,,http://www.youtube.com/user/ABQTheMag1
acadianagazette.net,,Acadiana Gazette,usnpl.com,,Newspapers,http://acadianagazette.net,,
accesspress.org,https://www.facebook.com/accesspress,Access Press,usnpl.com,accesspress,Magazines,http://www.accesspress.org,,
acfreepress.com,https://www.facebook.com/pages/Adams-County-Free-Press/118438834855356,Adams County Free Press,usnpl.com,,Newspapers,http://www.acfreepress.com,,
ack.net,https://www.facebook.com/pages/The-Nantucket-Inquirer-and-Mirror/255864560765,Inquirer and Mirror,usnpl.com,InkyM,Newspapers,http://www.ack.net,,https://www.youtube.com/channel/UCpj3gHSgjOZtumjT4pUIvdQ
actionnewsjax.com,,WJAX,stationindex,,TV station,http://www.actionnewsjax.com/,,
actionnewsnow.com,,WOIO,stationindex,,TV station,http://www.actionnewsnow.com/,,
acuoptimist.com,http://www.facebook.com/acuoptimist,The Optimist Online,usnpl.com,acuoptimist,College Newspapers,http://www.acuoptimist.com,,http://www.youtube.com/user/acuvideo
adaherald.com,https://www.facebook.com/pages/The-Ada-Herald/163108437070630,Ada Herald,usnpl.com,,Newspapers,http://www.adaherald.com,,
adaircountyfreepress.com,https://www.facebook.com/pages/Adair-County-Free-Press/111587408885341,Adair County Free Press,usnpl.com,,Newspapers,http://adaircountyfreepress.com,,
adairprogress.com,https://www.facebook.com/pages/The-Adair-Progress/302781669834512,Adair Progress,usnpl.com,AdairProgress,Newspapers,http://www.adairprogress.com,,
adairvoice.com,https://www.facebook.com/adaircountycommunityvoice,Adair County Community Voice,usnpl.com,Adairvoice,Newspapers,http://adairvoice.com,,
adamsc.com,https://www.facebook.com/adamscountyjournal,Adams County Journal,usnpl.com,,Magazines,http://adamsc.com,,
addisonindependent.com,https://www.facebook.com/AddisonIndependent,Addison Co. Independent,usnpl.com,addyindy,Newspapers,http://www.addisonindependent.com,,https://www.youtube.com/user/addisonindependent/videos
adelnews.com,https://www.facebook.com/DallasCountyNews,Dallas County News,usnpl.com,DallasCoNews,Newspapers,http://adelnews.com,,http://www.youtube.com/user/DallasCountyNews
adirondackdailyenterprise.com,https://www.facebook.com/AdkEnterprise,Adirondack Daily Enterprise,usnpl.com,,Newspapers,http://www.adirondackdailyenterprise.com,,
adirondackexpress.com,https://www.facebook.com/pages/Adirondack-Express/353352331908,Adirondack Express,usnpl.com,adirondackexprs,Newspapers,http://www.adirondackexpress.com,,
adn.com,https://www.facebook.com/akdispatch,Alaska Dispatch News,usnpl.com,adndotcom,Newspapers,http://www.adn.com,,https://www.youtube.com/user/AlaskaDispatch
advancetitan.com,https://www.facebook.com/pages/The-Advance-Titan/130372970370790,Advance-Titan,usnpl.com,atitan,College Newspapers,http://www.advancetitan.com,,
advertiserdemocrat.com,https://www.facebook.com/pages/Advertiser-Democrat/146017835422698,Advertiser Democrat,usnpl.com,AdvDem,Newspapers,http://advertiserdemocrat.com,,
advertisergleam.com,https://www.facebook.com/advertisergleam,Advertiser-Gleam,usnpl.com,,Newspapers,http://www.advertisergleam.com,,
advertisernewsnorth.com,https://www.facebook.com/theadvnews,Advertiser-News,usnpl.com,,Newspapers,http://www.advertisernewsnorth.com,,
advertiser-tribune.com,https://www.facebook.com/AdvertiserTribune,Advertiser-Tribune,usnpl.com,AdvertiserTrib,Newspapers,http://www.advertiser-tribune.com,,http://www.youtube.com/user/TheAdvertiserTribune
advisor-chronicle.com,https://www.facebook.com/pages/Ad-visorchronicle/249726268411143?sk=timeline,Advisor & Chronicle,usnpl.com,,Newspapers,http://advisor-chronicle.com,,
advocateanddemocrat.com,https://www.facebook.com/pages/The-Advocate-Democrat/100854392011,Monroe County Advocate,usnpl.com,,Newspapers,http://www.advocateanddemocrat.com,,http://www.youtube.com/user/AdvocateDemocrat
advocate-news.com,https://www.facebook.com/FortBraggAdvocateNews,Fort Bragg Advocate-News,usnpl.com,FBAdvocateNews,Newspapers,http://www.advocate-news.com,,http://www.youtube.com/user/FBAdvocateNews
advocate-online.net,http://www.facebook.com/TheAdvocateOnline,The Advocate,usnpl.com,mhccadvocate,College Newspapers,http://www.advocate-online.net,,http://www.youtube.com/user/MHCCAdvocate
advocatepress.com,https://www.facebook.com/ClayCountyAdvocatePress,Clay County Advocate-Press,usnpl.com,,Newspapers,http://www.advocatepress.com,,
